Car.PitchAcc,Car.PitchVel,Car.RollAcc,Car.RollVel,Car.YawAcc,Car.YawVel,Car.ax,Car.ay,Car.az,Car.v,Car.vx,Car.vy,Car.vz,Time
rad/s^2,rad/s,rad/s^2,rad/s,rad/s^2,rad/s,m/s^2,m/s^2,m/s^2,m/s,m/s,m/s,m/s,s
-1.96E-06,-6.39E-08,-0.001464909,-0.000152231,-6.93E-05,-2.72E-06,1.07E-06,0.000923346,-7.91E-05,2.24E-05,2.13E-07,2.24E-05,1.58E-07,0.301
4.86E-07,-6.99E-08,-0.001154123,-0.000165361,-5.49E-05,-3.33E-06,1.33E-06,0.000902428,-9.03E-05,3.12E-05,2.26E-07,3.12E-05,-6.93E-07,0.311
2.75E-06,-5.24E-08,-0.000897979,-0.000175716,-3.83E-05,-3.79E-06,1.70E-06,0.000852453,-9.66E-05,3.97E-05,2.42E-07,3.96E-05,-1.63E-06,0.321
4.78E-06,-1.36E-08,-0.0006826,-0.000183762,-2.20E-05,-4.08E-06,1.94E-06,0.000784595,-9.84E-05,4.76E-05,2.61E-07,4.75E-05,-2.62E-06,0.331
6.55E-06,4.42E-08,-0.000498102,-0.000189847,-7.47E-06,-4.22E-06,2.08E-06,0.000706956,-9.61E-05,5.48E-05,2.82E-07,5.47E-05,-3.60E-06,0.341
8.06E-06,1.18E-07,-0.000338079,-0.00019424,4.67E-06,-4.22E-06,2.11E-06,0.000625169,-9.05E-05,6.12E-05,3.04E-07,6.10E-05,-4.54E-06,0.351
9.34E-06,2.06E-07,-0.000198639,-0.000197162,1.42E-05,-4.12E-06,2.06E-06,0.000543062,-8.21E-05,6.68E-05,3.25E-07,6.66E-05,-5.41E-06,0.361
1.04E-05,3.05E-07,-7.75E-05,-0.000198804,2.13E-05,-3.94E-06,1.94E-06,0.000463178,-7.15E-05,7.15E-05,3.46E-07,7.12E-05,-6.19E-06,0.371
1.11E-05,4.13E-07,4.24E-05,-0.000199264,2.62E-05,-3.69E-06,1.76E-06,0.000386004,-5.90E-05,7.55E-05,3.65E-07,7.52E-05,-6.85E-06,0.381
1.15E-05,5.27E-07,0.000150037,-0.000198572,2.94E-05,-3.41E-06,1.52E-06,0.000313308,-4.52E-05,7.86E-05,3.82E-07,7.83E-05,-7.38E-06,0.391
1.17E-05,6.43E-07,0.000237962,-0.000196923,3.13E-05,-3.11E-06,1.24E-06,0.000245201,-3.05E-05,8.11E-05,3.96E-07,8.07E-05,-7.76E-06,0.401
1.15E-05,7.59E-07,0.000306806,-0.000194508,3.21E-05,-2.79E-06,9.40E-07,0.000182349,-1.53E-05,8.29E-05,4.07E-07,8.25E-05,-8.00E-06,0.411
1.09E-05,8.71E-07,0.00035766,-0.000191514,3.20E-05,-2.46E-06,6.25E-07,0.000125478,-1.04E-07,8.41E-05,4.14E-07,8.37E-05,-8.08E-06,0.421
1.00E-05,9.75E-07,0.000391826,-0.000188112,3.11E-05,-2.15E-06,2.43E-07,7.48E-05,1.47E-05,8.47E-05,4.19E-07,8.43E-05,-8.01E-06,0.431
8.80E-06,1.07E-06,0.000410863,-0.000184461,2.96E-05,-1.84E-06,-1.08E-07,3.10E-05,2.88E-05,8.48E-05,4.19E-07,8.45E-05,-7.80E-06,0.441
7.27E-06,1.15E-06,0.000416566,-0.0001807,2.77E-05,-1.56E-06,-3.34E-07,-5.86E-06,4.19E-05,8.46E-05,4.18E-07,8.42E-05,-7.45E-06,0.451
5.51E-06,1.21E-06,0.000410548,-0.000176955,2.54E-05,-1.29E-06,-6.72E-07,-3.60E-05,5.36E-05,8.39E-05,4.11E-07,8.36E-05,-6.97E-06,0.461
3.53E-06,1.26E-06,0.000394536,-0.000173333,2.28E-05,-1.05E-06,-9.62E-07,-5.96E-05,6.38E-05,8.30E-05,4.02E-07,8.28E-05,-6.38E-06,0.471
1.39E-06,1.28E-06,0.000370269,-0.000169924,2.00E-05,-8.36E-07,-1.22E-06,-7.69E-05,7.23E-05,8.19E-05,3.91E-07,8.17E-05,-5.70E-06,0.481
-8.44E-07,1.28E-06,0.000339441,-0.000166801,1.71E-05,-6.50E-07,-1.47E-06,-8.83E-05,7.89E-05,8.06E-05,3.76E-07,8.05E-05,-4.94E-06,0.491
-3.12E-06,1.26E-06,0.000317556,-0.000163944,1.43E-05,-4.93E-07,-1.66E-06,-9.58E-05,8.38E-05,7.93E-05,3.59E-07,7.92E-05,-4.12E-06,0.501
-5.39E-06,1.22E-06,0.000293173,-0.000161306,1.16E-05,-3.64E-07,-1.84E-06,-9.85E-05,8.69E-05,7.79E-05,3.41E-07,7.78E-05,-3.26E-06,0.511
-7.58E-06,1.15E-06,0.0002633,-0.000158949,9.09E-06,-2.61E-07,-1.98E-06,-9.79E-05,8.83E-05,7.65E-05,3.21E-07,7.64E-05,-2.38E-06,0.521
-9.65E-06,1.06E-06,0.000229391,-0.000156918,6.81E-06,-1.82E-07,-2.07E-06,-9.43E-05,8.79E-05,7.51E-05,2.99E-07,7.50E-05,-1.49E-06,0.531
-1.15E-05,9.57E-07,0.000193007,-0.000155246,4.73E-06,-1.24E-07,-2.12E-06,-8.80E-05,8.59E-05,7.37E-05,2.78E-07,7.37E-05,-6.17E-07,0.541
-1.32E-05,8.32E-07,0.000155669,-0.000153949,2.84E-06,-8.59E-08,-2.13E-06,-7.94E-05,8.24E-05,7.25E-05,2.55E-07,7.25E-05,2.32E-07,0.551
-1.46E-05,6.92E-07,0.000118755,-0.000153029,1.13E-06,-6.58E-08,-2.11E-06,-6.89E-05,7.76E-05,7.13E-05,2.33E-07,7.13E-05,1.04E-06,0.561
-1.57E-05,5.39E-07,8.34E-05,-0.000152474,-4.06E-07,-6.18E-08,-2.04E-06,-5.67E-05,7.15E-05,7.03E-05,2.12E-07,7.03E-05,1.79E-06,0.571
-1.65E-05,3.77E-07,5.07E-05,-0.000152263,-1.75E-06,-7.22E-08,-1.95E-06,-4.34E-05,6.44E-05,6.94E-05,1.92E-07,6.93E-05,2.48E-06,0.581
-1.70E-05,2.10E-07,2.14E-05,-0.000152365,-2.90E-06,-9.49E-08,-1.83E-06,-2.93E-05,5.64E-05,6.86E-05,1.73E-07,6.86E-05,3.09E-06,0.591
-1.71E-05,3.92E-08,2.12E-05,-0.000152692,-3.98E-06,-1.28E-07,-1.53E-06,-1.17E-05,4.79E-05,6.80E-05,1.55E-07,6.79E-05,3.61E-06,0.601
-1.68E-05,-1.30E-07,7.45E-05,-0.000152633,-4.35E-06,-1.68E-07,-1.57E-06,-1.63E-06,3.95E-05,6.75E-05,1.39E-07,6.74E-05,4.05E-06,0.611
-1.63E-05,-2.96E-07,0.000119292,-0.00015209,-4.22E-06,-2.11E-07,-1.37E-06,4.26E-06,3.13E-05,6.70E-05,1.25E-07,6.69E-05,4.41E-06,0.621
-1.54E-05,-4.54E-07,0.000154765,-0.000151155,-3.51E-06,-2.48E-07,-1.22E-06,5.91E-06,2.34E-05,6.66E-05,1.12E-07,6.65E-05,4.69E-06,0.631
-1.43E-05,-6.02E-07,0.000189601,-0.00014987,-2.38E-06,-2.76E-07,-1.05E-06,2.77E-06,1.60E-05,6.62E-05,1.01E-07,6.61E-05,4.89E-06,0.641
-1.30E-05,-7.38E-07,0.000218038,-0.000148262,-1.07E-06,-2.91E-07,-4.17E-07,-2.05E-06,9.03E-06,6.58E-05,9.15E-08,6.56E-05,5.01E-06,0.651
-1.14E-05,-8.59E-07,0.000238058,-0.00014642,2.28E-07,-2.93E-07,-8.40E-07,-8.63E-06,2.79E-06,6.53E-05,8.73E-08,6.51E-05,5.07E-06,0.661
-9.77E-06,-9.64E-07,0.000250994,-0.000144422,1.44E-06,-2.83E-07,-5.06E-07,-1.60E-05,-2.99E-06,6.47E-05,8.07E-08,6.45E-05,5.07E-06,0.671
-8.01E-06,-1.05E-06,0.000258277,-0.00014233,2.36E-06,-2.62E-07,-2.47E-07,-2.32E-05,-8.18E-06,6.41E-05,7.80E-08,6.39E-05,5.01E-06,0.681
-6.16E-06,-1.12E-06,0.000261107,-0.000140194,3.06E-06,-2.33E-07,-1.37E-07,-2.98E-05,-1.28E-05,6.34E-05,7.69E-08,6.32E-05,4.90E-06,0.691
-4.28E-06,-1.17E-06,0.000260501,-0.000138052,3.46E-06,-1.99E-07,3.45E-08,-3.54E-05,-1.70E-05,6.26E-05,7.72E-08,6.24E-05,4.75E-06,0.701
-2.40E-06,-1.21E-06,0.000257302,-0.000135934,3.60E-06,-1.62E-07,1.86E-07,-3.98E-05,-2.06E-05,6.17E-05,7.92E-08,6.16E-05,4.56E-06,0.711
-5.54E-07,-1.22E-06,0.000252221,-0.000133863,3.54E-06,-1.25E-07,3.19E-07,-4.29E-05,-2.36E-05,6.08E-05,8.26E-08,6.07E-05,4.34E-06,0.721
1.22E-06,-1.22E-06,0.00024586,-0.000131853,3.32E-06,-8.88E-08,4.44E-07,-4.49E-05,-2.62E-05,5.99E-05,8.73E-08,5.98E-05,4.09E-06,0.731
2.91E-06,-1.19E-06,0.000238742,-0.000129914,2.98E-06,-5.60E-08,5.55E-07,-4.57E-05,-2.83E-05,5.90E-05,9.31E-08,5.88E-05,3.81E-06,0.741
4.46E-06,-1.16E-06,0.00023132,-0.000128051,2.58E-06,-2.70E-08,6.52E-07,-4.56E-05,-3.00E-05,5.80E-05,9.99E-08,5.79E-05,3.52E-06,0.751
5.86E-06,-1.10E-06,0.000223992,-0.000126265,2.14E-06,-2.17E-09,7.35E-07,-4.46E-05,-3.11E-05,5.71E-05,1.08E-07,5.70E-05,3.21E-06,0.761
7.09E-06,-1.04E-06,0.000148873,-0.000124622,1.89E-06,1.84E-08,8.03E-07,-7.55E-05,-3.18E-05,5.61E-05,1.16E-07,5.61E-05,2.89E-06,0.771
8.25E-06,-9.61E-07,-0.000558931,-0.000127594,1.53E-07,3.39E-08,8.90E-07,-4.51E-05,-3.65E-05,5.54E-05,1.25E-07,5.53E-05,2.56E-06,0.781
9.27E-06,-8.73E-07,-0.001166394,-0.00013711,-5.35E-06,1.02E-08,1.58E-06,1.91E-05,-4.54E-05,5.49E-05,1.37E-07,5.49E-05,2.15E-06,0.791
1.03E-05,-7.75E-07,-0.001642,-0.000151998,-1.50E-05,-9.27E-08,2.03E-06,0.000117233,-5.71E-05,5.53E-05,1.56E-07,5.53E-05,1.65E-06,0.801
1.14E-05,-6.66E-07,-0.002000966,-0.000170966,-2.66E-05,-3.04E-07,2.25E-06,0.000240424,-7.10E-05,5.67E-05,1.77E-07,5.66E-05,1.01E-06,0.811
1.28E-05,-5.44E-07,-0.002260609,-0.00019297,-3.83E-05,-6.34E-07,2.57E-06,0.000376265,-8.65E-05,5.93E-05,2.02E-07,5.93E-05,2.30E-07,0.821
1.43E-05,-4.09E-07,-0.002433384,-0.000217085,-4.87E-05,-1.07E-06,2.88E-06,0.000513589,-0.000102634,6.33E-05,2.30E-07,6.32E-05,-7.11E-07,0.831
1.59E-05,-2.57E-07,-0.00253191,-0.000242512,-5.65E-05,-1.60E-06,3.21E-06,0.000643605,-0.000118288,6.86E-05,2.61E-07,6.85E-05,-1.81E-06,0.841
1.77E-05,-8.78E-08,-0.002567659,-0.000268572,-6.13E-05,-2.20E-06,3.55E-06,0.00076014,-0.000132548,7.51E-05,2.96E-07,7.50E-05,-3.06E-06,0.851
1.94E-05,9.84E-08,-0.002550706,-0.000294695,-6.31E-05,-2.82E-06,3.88E-06,0.00085926,-0.000144632,8.27E-05,3.33E-07,8.26E-05,-4.45E-06,0.861
2.10E-05,3.01E-07,-0.002469397,-0.000320288,-6.20E-05,-3.45E-06,4.18E-06,0.000937919,-0.000153818,9.12E-05,3.75E-07,9.10E-05,-5.94E-06,0.871
2.26E-05,5.20E-07,-0.002352735,-0.000344855,-5.83E-05,-4.05E-06,4.42E-06,0.000995209,-0.000159601,0.000100435,4.18E-07,0.000100153,-7.51E-06,0.881
2.39E-05,7.53E-07,-0.002211383,-0.000368117,-5.26E-05,-4.60E-06,4.61E-06,0.00103118,-0.000161755,0.000110122,4.64E-07,0.000109742,-9.12E-06,0.891
2.49E-05,9.98E-07,-0.002052094,-0.000389863,-4.54E-05,-5.09E-06,4.73E-06,0.001047041,-0.000160157,0.000120074,5.11E-07,0.000119592,-1.07E-05,0.901
2.57E-05,1.25E-06,-0.001880876,-0.000409948,-3.73E-05,-5.49E-06,4.78E-06,0.00104468,-0.000154824,0.000130096,5.59E-07,0.00012951,-1.23E-05,0.911
2.61E-05,1.51E-06,-0.001703163,-0.000428284,-2.87E-05,-5.82E-06,4.76E-06,0.001026338,-0.000145908,0.000140012,6.07E-07,0.000139326,-1.38E-05,0.921
2.61E-05,1.77E-06,-0.001523923,-0.000444832,-2.01E-05,-6.06E-06,4.65E-06,0.000994428,-0.000133667,0.000149672,6.54E-07,0.000148893,-1.52E-05,0.931
2.58E-05,2.03E-06,-0.001330396,-0.000459512,-1.19E-05,-6.21E-06,4.47E-06,0.00095069,-0.000118364,0.000158946,7.00E-07,0.000158085,-1.65E-05,0.941
2.50E-05,2.29E-06,-0.001143009,-0.000472271,-4.08E-06,-6.28E-06,4.20E-06,0.000897385,-0.000100346,0.000167725,7.43E-07,0.000166796,-1.76E-05,0.951
